provinceId,nameInFile,provinceName,pingyingName
1,辽宁省,辽宁省,LN
2,陕西省,陕西省,ShanX
3,浙江省,浙江省,ZJ
4,重庆市,重庆市,CQ
5,黑龙江省,黑龙江省,HLJ
6,安徽省,安徽省,AH
7,山西省,山西省,SanX
8,山东省,山东省,SD
9,上海市,上海市,SH
10,新疆维吾尔自治区,新疆维吾尔自治区,XJ
11,湖南省,湖南省,HuN
12,甘肃省,甘肃省,GS
13,河南省,河南省,HeN
14,北京市,北京市,BJ
15,内蒙古自治区,内蒙古自治区,NMG
16,云南省,云南省,YN
17,江西省,江西省,JX
18,湖北省,湖北省,HuB
19,吉林省,吉林省,JL
20,宁夏回族自治区,宁夏回族自治区,NX
21,天津市,天津市,TJ
22,福建省,福建省,FJ
23,四川省,四川省,SC
24,臺灣,台湾省,TW
25,广西壮族自治区,广西壮族自治区,GX
26,广东省,广东省,GD
27,河北省,河北省,HeB
28,海南省,海南省,HaiN
29,澳門,澳门特别行政区,Macro
30,西藏自治区,西藏自治区,XZ
31,贵州省,贵州省,GZ
32,江苏省,江苏省,JS
33,青海省,青海省,QH
34,HK,香港特别行政区,HK
